"Transect","Year","Transect_number","Date","Accuracy","Transect_spacing","Transect_distance","Location","Baseline_location","Start_X","Start_Y","End_X","End_Y","Azimuth","Shoreline_location","Class_1","Class_2","Class_3","Position_X","Position_Y","Change_Distance_Raw","Change_Years","Change_Years_Eras","Change_Distance_Cumulative","Change_Distance_Eras","Rate_Consecutive_Eras","Size_1"
"1","T001",1867,1,1867-01-01,7.21,50,304.321081437483,"NA","NA",2005.63036795182,1071.09500181302,1663.30526425561,610.582917059772,307.881270010458,"Jekyll","Natural.Mean High Water Or Apparent.Marsh","undefined","undefined",1764.63087579043,1249.79892233573,-299.313383689649,"0","0","0","0","0",1
"2","T001",1924,1,1924-10-01,13.84,50,304.321081437483,"NA","NA",2005.63036795182,1071.09500181302,1663.30526425561,610.582917059772,307.881270010458,"Jekyll","undefined","undefined","undefined",1847.74163413083,1185.14258517465,-194.014570368068,"57.7467488021903","57.7467488021903","105.29881332158","105.29881332158","1.82345873154311",1
"3","T001",1933,1,1933-11-24,4.85,50,304.321081437483,"NA","NA",2005.63036795182,1071.09500181302,1663.30526425561,610.582917059772,307.881270010458,"Jekyll","Natural.Mean High Water","undefined","undefined",1888.95615148183,1153.07959136972,-141.797025306939,"66.8939082819986","9.14715947980835","157.51635838271","52.2175450611293","5.70860770235782",1
"4","T001",1951,1,1951-05-12,3.65,50,304.321081437483,"NA","NA",2005.63036795182,1071.09500181302,1663.30526425561,610.582917059772,307.881270010458,"Jekyll","undefined","undefined","undefined",1926.08159304922,1124.19770994876,-94.7602154021914,"84.355806525211","17.4618982432124","204.553168287457","47.0368099047476","2.69368251089375",1
"5","T001",1974,1,1974-04-18,7.21,50,304.321081437483,"NA","NA",2005.63036795182,1071.09500181302,1663.30526425561,610.582917059772,307.881270010458,"Jekyll","Natural.Mean High Water Or Apparent.Marsh","undefined","undefined",1965.63610184711,1093.42612624401,-44.6458508951519,"107.290782569017","22.9349760438056","254.667532794497","50.1143645070395","2.18506286692088",1
"6","T001",2003,1,2003-11-25,5,50,304.321081437483,"NA","NA",2005.63036795182,1071.09500181302,1663.30526425561,610.582917059772,307.881270010458,"Jekyll","undefined","undefined","undefined",1995.90270472423,1069.88010501396,-6.2989818507393,"136.895277207392","29.6044946383755","293.014401838909","38.3468690444126","1.29530564574153",1
"7","T001",2006,1,2006-03-01,5,50,304.321081437483,"NA","NA",2005.63036795182,1071.09500181302,1663.30526425561,610.582917059772,307.881270010458,"Jekyll","undefined","undefined","undefined",1996.57105652284,1069.36015813705,-5.4522003668155,"139.15947980835","2.26420260095827","293.861183322833","0.846781483923849","0.373986622736617",1
"8","T002",1867,2,1867-01-01,7.21,50,320.045940981181,"NA","NA",1986.8082067669,1024.83448290778,1643.3520897592,587.676735742949,311.058553597038,"Jekyll","Natural.Mean High Water Or Apparent.Marsh","undefined","undefined",1744.495394942,1226.68345390167,-315.0459409785,"0","0","0","0","0",1
"9","T002",1924,2,1924-10-01,13.84,50,320.045940981181,"NA","NA",1986.8082067669,1024.83448290778,1643.3520897592,587.676735742949,311.058553597038,"Jekyll","undefined","undefined","undefined",1821.4796102462,1159.62384845689,-212.950103215763,"57.7467488021903","57.7467488021903","102.095837762737","102.095837762737","1.76799282869523",1
"10","T002",1933,2,1933-11-24,4.85,50,320.045940981181,"NA","NA",1986.8082067669,1024.83448290778,1643.3520897592,587.676735742949,311.058553597038,"Jekyll","Natural.Mean High Water","undefined","undefined",1864.69778514473,1121.97725109383,-155.634512540094,"66.8939082819986","9.14715947980835","159.411428438407","57.3155906756691","6.26594417668008",1
"11","T002",1951,2,1951-05-12,3.65,50,320.045940981181,"NA","NA",1986.8082067669,1024.83448290778,1643.3520897592,587.676735742949,311.058553597038,"Jekyll","undefined","undefined","undefined",1904.96075384453,1086.90488224104,-102.23809219633,"84.355806525211","17.4618982432124","212.807848782171","53.396420343764","3.05788177207594",1
"12","T002",1974,2,1974-04-18,7.21,50,320.045940981181,"NA","NA",1986.8082067669,1024.83448290778,1643.3520897592,587.676735742949,311.058553597038,"Jekyll","Natural.Mean High Water Or Apparent.Marsh","undefined","undefined",1944.95240193914,1052.06885602791,-49.2014950237614,"107.290782569017","22.9349760438056","265.844445954739","53.0365971725685","2.31247667628992",1
"13","T002",2003,2,2003-11-25,5,50,320.045940981181,"NA","NA",1986.8082067669,1024.83448290778,1643.3520897592,587.676735742949,311.058553597038,"Jekyll","undefined","undefined","undefined",1977.14289814053,1024.02827698365,-6.5107217957324,"136.895277207392","29.6044946383755","308.535219182768","42.690773228029","1.44203688492254",1
