"TRANSECT","01/01/1855 12:00:01 AM","01/01/1867 12:00:01 AM","08/01/1924 12:00:01 AM","10/01/1924 12:00:01 AM","11/24/1933 12:00:01 AM","05/12/1951 12:00:01 AM","04/18/1974 12:00:01 AM","12/29/2002 12:00:01 AM","11/25/2003 12:00:01 AM","03/01/2006 12:00:01 AM"
1,NA,-299.313383689649,NA,-194.014570368068,-141.797025306939,-94.7602154021914,-44.6458508951519,NA,-6.2989818507393,-5.4522003668155
2,NA,-315.0459409785,NA,-212.950103215763,-155.634512540094,-102.23809219633,-49.2014950237614,NA,-6.5107217957324,-5.3704210680504
3,NA,-329.732911338835,NA,-227.486550979474,-168.409184415935,-107.034814695596,-48.883125970074,NA,-5.6760473721618,-5.2362459711567
4,NA,-345.213522486073,NA,-240.942998608788,-182.661432594155,-117.637451813121,-52.4879777171901,NA,-9.3333185523795,-5.2881344270896
5,NA,-358.353162617349,NA,-249.738946786988,-196.947594122031,-126.572955958336,-51.6765102377509,NA,-10.7454520105649,-5.1035004109695
6,NA,-367.928016501382,NA,-258.886502470486,-211.787023078204,-132.220131987943,-50.9283110568914,NA,-12.29693436726,-5.0436737611274
7,NA,-375.01410742621,NA,-266.303905628106,-224.372614218401,-141.009688849634,-49.3211819149277,NA,-11.3754052275471,-5.0847524942862
8,NA,-383.598356953366,NA,-275.190568104952,-234.60124602749,-148.588137167814,-49.3929153598486,NA,-11.4824478526579,-5.141032686144
9,NA,-395.927117165606,NA,-283.960075949615,-246.079691850404,-154.875287333832,-46.8375488056944,NA,-10.9089569273612,-5.2176098778574
10,NA,-406.186404095708,NA,-290.092657820229,-255.657458213498,-159.875194756459,-42.5279284938381,NA,-9.3958645083749,-5.1032003163275
11,NA,-414.905391568421,NA,-295.802900966029,-263.355722015498,-166.485715205137,-39.5133189170378,NA,-9.6385583860331,-5.0577665952666
12,NA,-427.792965302015,NA,-305.091863592299,-274.243507731399,-177.161794610605,-38.317662166829,NA,-11.2015025260937,-5.1771795483997
13,NA,-438.64611776695,NA,-312.698698287167,-283.961680292878,-185.995870641619,-33.0679560051779,NA,-7.5328658092342,-5.1524904003394
14,NA,-449.766029295589,NA,-320.037123032325,-292.682985506122,-193.842203080972,-34.9834963161521,NA,-8.2494852988307,-5.1859535068516
15,NA,-460.551501887723,NA,-327.064197501003,-302.107911958326,-206.26517423668,-39.1638400752504,NA,-9.0844678289867,-5.1233232203975
16,NA,-470.883893861725,NA,-334.3737143795,-312.750484762725,-218.97607319403,-43.6205611324469,NA,-10.7205987424329,-5.0750406318639
17,NA,-478.927632547091,NA,-342.478004441376,-319.924561697949,-228.710688607567,-57.5025995916949,NA,-7.4178974317284,-5.100137564988
18,NA,-492.019270193974,NA,-354.443174770272,-336.192850548916,-244.507343784313,-76.4123636157646,NA,-12.3397871535942,-5.2215278941472
19,NA,-503.174779561709,NA,-363.841377579112,-345.855391759779,-256.278753480131,-89.6890098439717,NA,-16.2944207159277,-5.0377717806146
20,NA,-510.164674609535,NA,-365.124308807758,-345.313289420782,-266.057245896091,-94.79346382434,NA,-16.0201247378446,-5.0507751216203
21,NA,-517.671434418711,NA,-370.837136661301,-348.712121495112,-278.432270495947,-111.595875075408,NA,-18.9172241215114,-5.1708838163132
22,NA,-527.294631065685,NA,-378.682592529335,-357.683884304786,-290.290000275607,-134.558790303119,NA,-23.9755465757788,-5.1069848980298
23,NA,-536.314520216652,NA,-384.205261018091,-364.225516014674,-301.084252893384,-151.636804804277,NA,-21.1321954827269,-5.0049184731427
24,NA,-541.721769780406,NA,-374.459901731829,-359.454169723972,-309.103284685715,-165.916896030275,NA,-18.9107260424899,-5.0437368183009
25,NA,-547.389226750725,NA,-370.257162694381,-356.96259411166,-322.98668790679,-179.971039699574,NA,-21.4437345122845,-5.0437751043211
26,NA,-555.315344346283,NA,-365.864124326056,-356.395831723805,-334.61699885116,-197.44864704878,NA,-30.4527535630037,-5.1090594440999
27,NA,-559.853969007161,NA,-351.531686524764,-364.936507709362,-356.140190849569,-225.062799593204,NA,-42.3223999764709,-5.009849966075
