"Changes.Transects","Changes.Dates","Changes.Dates2","Changes.Years","Changes.Years.Eras","Changes.Distances","Changes.Dist.Eras","Rates.Consec.Eras"
"1","1","01/01/1867 12:00:01 AM","01/01/1867 12:00:01 AM","0","0","0","0","0"
"2","1","03/01/2006 12:00:01 AM","03/01/2006 12:00:01 AM","139.15947980835","139.15947980835","293.861183322833","293.861183322833","2.11168641710602"
"3","1","04/18/1974 12:00:01 AM","04/18/1974 12:00:01 AM","107.290782569017","-31.8686972393338","254.667532794497","-39.1936505283364","1.22984790479486"
"4","1","05/12/1951 12:00:01 AM","05/12/1951 12:00:01 AM","84.355806525211","-22.9349760438056","204.553168287457","-50.1143645070395","2.18506286692088"
"5","1","10/01/1924 12:00:01 AM","10/01/1924 12:00:01 AM","57.7467488021903","-26.6090577230208","105.29881332158","-99.2543549658769","3.73009657083825"
"6","1","11/24/1933 12:00:01 AM","11/24/1933 12:00:01 AM","66.8939082819986","9.14715947980835","157.51635838271","52.2175450611293","5.70860770235782"
"7","1","11/25/2003 12:00:01 AM","11/25/2003 12:00:01 AM","136.895277207392","70.0013689253935","293.014401838909","135.4980434562","1.93564848139772"
"8","2","01/01/1867 12:00:01 AM","01/01/1867 12:00:01 AM","0","0","0","0","0"
"9","2","03/01/2006 12:00:01 AM","03/01/2006 12:00:01 AM","139.15947980835","139.15947980835","309.67551991045","309.67551991045","2.22532823733556"
"10","2","04/18/1974 12:00:01 AM","04/18/1974 12:00:01 AM","107.290782569017","-31.8686972393338","265.844445954739","-43.831073955711","1.37536447211945"
"11","2","05/12/1951 12:00:01 AM","05/12/1951 12:00:01 AM","84.355806525211","-22.9349760438056","212.807848782171","-53.0365971725685","2.31247667628992"
"12","2","10/01/1924 12:00:01 AM","10/01/1924 12:00:01 AM","57.7467488021903","-26.6090577230208","102.095837762737","-110.712011019433","4.16068889668539"
"13","2","11/24/1933 12:00:01 AM","11/24/1933 12:00:01 AM","66.8939082819986","9.14715947980835","159.411428438407","57.3155906756691","6.26594417668008"
"14","2","11/25/2003 12:00:01 AM","11/25/2003 12:00:01 AM","136.895277207392","70.0013689253935","308.535219182768","149.123790744361","2.13029820750071"
