"Transect","Baseline.Offshore","Transect.Spacing","Transect.Distance","Transect.Flag","Transect.StartX","Transect.StartY","Transect.EndX","Transect.EndY","Transect.Inner.Xcoord","Transect.Inner.Ycoord","Transect.Outer.Xcoord","Transect.Outer.Ycoord","Min.Date.Xcoord","Min.Date.Ycoord","Max.Date.Xcoord","Max.Date.Ycoord","Number.Dates","Min.Date","Max.Date","Elapsed.Years","Transect.Means","Range.Distance","Stdev.Change","Min.Date.Position","Max.Date.Position","Min.Date.Dist","Max.Date.Dist","Min.Date.Acc","Max.Date.Acc","Net.Change","EPR","EPR.Error","Mean.EPR.Eras","StDev.EPR.Eras","Mean.EPR.Eras.L","Mean.EPR.Eras.U","LRR.slope","LRR.Rsquared","LRR.intercept","LRR.SECoef","LRR.SEResi","LRR.Pval","LRR.CI.L","LRR.CI.U","WLR.slope","WLR.Rsquared","WLR.intercept","WLR.SECoef","WLR.SEResi","WLR.Pval","WLR.CI.L","WLR.CI.U","RLR.slope","LMS.slope","JK.avg","JK.min","JK.max","Min.Date.Class1","Max.Date.Class1","Att.Change","Baseline.Location","Shoreline.Location","Transect.Azimuth","Time.Stamp"
"1","1","50","304.321081437483","FLAG","460021.515216658","3431984.87120034","459781.319196785","3432171.73262665","459785.271696763","3432168.65776395","460017.211877496","3431988.21899975","459785.271696763","3432168.65776395","460017.211877496","3431988.21899975","7","01/01/1867 12:00:01 AM","03/01/2006 12:00:01 AM","139.15947980835","218.151909657998","293.861183322833","108.057656305606","1","2","-299.313383689649","-5.4522003668155","7.21","5","293.861183322833","2.11168641710602","0.0630503819511106","2.81682499056926","1.63632419350674","1.18050079706252","4.453149184076","2.18068954631394","0.978671888833151","2.4567776771183","0.143968168709166","17.2871087728645","2.27298648140256e-05","1.81060758692033","2.55077150570754","2.05957642368039","0.978308234403344","18.4947129440515","0.137152114141942","2.65093770192921","2.37143117992238e-05","1.70701569034799","2.41213715701278","0","0","0","0","0","Natural.Mean High Water Or Apparent.Marsh",NA,NA,"NA","Jekyll","307.881270010458","2012-04-04 09:35:32"
"2","1","50","320.045940981181","FLAG","460002.693055473","3431938.61068143","459761.366022289","3432148.82644533","459765.136215915","3432145.54229551","459998.64355002","3431942.13813491","459765.136215915","3432145.54229551","459998.64355002","3431942.13813491","7","01/01/1867 12:00:01 AM","03/01/2006 12:00:01 AM","139.15947980835","226.395050005212","309.67551991045","114.958852537539","1","2","-315.0459409785","-5.3704210680504","7.21","5","309.67551991045","2.22532823733556","0.0630503819511106","3.07835011110185","1.81358121447397","1.26476889662788","4.89193132557582","2.31784494649589","0.976887242573445","-2.08380266708064","0.159442112441499","19.1451566375032","2.78052721941414e-05","1.90798594841829","2.72770394457349","2.19704644350053","0.980489890719111","14.5461530239397","0.138599775332224","2.67891874803226","1.81793517362516e-05","1.84076437860824","2.55332850839282","0","0","0","0","0","Natural.Mean High Water Or Apparent.Marsh",NA,NA,"NA","Jekyll","311.058553597038","2012-04-04 09:35:33"
"3","1","50","334.732911342039","FLAG","459982.436371571","3431892.99568806","459730.034793986","3432112.85829417","459733.804987612","3432109.57414435","459978.488039337","3431896.43501131","459733.804987612","3432109.57414435","459978.488039337","3431896.43501131","7","01/01/1867 12:00:01 AM","03/01/2006 12:00:01 AM","139.15947980835","235.945249771435","324.496665367678","121.763404195913","1","2","-329.732911338835","-5.2362459711567","7.21","5","324.496665367678","2.33183298625845","0.0630503819511106","3.25781682128055","1.87989778782976","1.37791903345079","5.13771460911031","2.45096444078102","0.973645758402807","-5.16252685446683","0.180333653576548","21.6537274366772","3.86488976733932e-05","1.98740202654321","2.91452685501883","2.32760284311604","0.978668796734182","11.9698908173169","0.15367870174731","2.97037101465206","2.27381295664026e-05","1.93255916388024","2.72264652235185","0","0","0","0","0","Natural.Mean High Water Or Apparent.Marsh",NA,NA,"NA","Jekyll","311.058553597037","2012-04-04 09:35:33"
"4","1","50","350.213522489233","FLAG","459962.887930762","3431846.98546596","459698.81337289","3432077.01620134","459702.583566516","3432073.73205152","459958.900472623","3431850.45887111","459702.583566516","3432073.73205152","459958.900472623","3431850.45887111","7","01/01/1867 12:00:01 AM","03/01/2006 12:00:01 AM","139.15947980835","243.821636867286","339.925388058983","127.411244569118","1","2","-345.213522486073","-5.2881344270896","7.21","5","339.925388058983","2.44270378508979","0.0630503819511106","3.3743295198348","1.7952205429786","1.5791089768562","5.1695500628134","2.56549334952422","0.974286732439364","-8.10280694782245","0.186389366057909","22.3808726195401","3.63330967265154e-05","2.08636423077999","3.04462246826845","2.452226000224","0.981306565799945","7.54770949716523","0.151362288419544","2.9255983367955","1.63313922392459e-05","2.06313685101237","2.84131514943562","0","0","0","0","0","Natural.Mean High Water Or Apparent.Marsh",NA,NA,"NA","Jekyll","311.058553597042","2012-04-04 09:35:33"
"5","1","50","363.353162618411","FLAG","459941.48917118","3431801.86160466","459657.73625518","3432028.81931756","459661.640898723","3432025.69621673","459937.503701196","3431805.04935393","459661.640898723","3432025.69621673","459937.503701196","3431805.04935393","7","01/01/1867 12:00:01 AM","03/01/2006 12:00:01 AM","139.15947980835","251.555669362909","353.24966220638","132.788411088294","1","2","-358.353162617349","-5.1035004109695","7.21","5","353.24966220638","2.53845201701582","0.0630503819511106","3.3875826199574","1.56193484797962","1.82564777197778","4.94951746793702","2.67358644086057","0.974156268719997","-10.6205045592338","0.194747782557088","23.3845170812691","3.67974693155334e-05","2.17297132848887","3.17420155323227","2.57491033638477","0.981163871353354","2.52977723518108","0.159551965414156","3.08389209440517","1.66457002481316e-05","2.16476895225107","2.98505172051848","0","0","0","0","0","Natural.Mean High Water Or Apparent.Marsh",NA,NA,"NA","Jekyll","308.654314106336","2012-04-04 09:35:33"
"6","1","50","372.928016503708","FLAG","459918.321116856","3431757.56676099","459627.090922577","3431990.50512072","459630.995566122","3431987.38201988","459914.38236722","3431760.71714133","459630.995566122","3431987.38201988","459914.38236722","3431760.71714133","7","01/01/1867 12:00:01 AM","03/01/2006 12:00:01 AM","139.15947980835","256.067587047731","362.884342740255","137.389542851743","1","2","-367.928016501382","-5.0436737611274","7.21","5","362.884342740255","2.60768682981581","0.0630503819511106","3.39184918139531","1.39305051316404","1.99879866823127","4.78489969455935","2.76095629731605","0.97044790270826","-14.1464087996196","0.215467896159525","25.8725035635798","5.15215688328567e-05","2.20707843728561","3.3148341573465","2.67486260650462","0.976660143171301","-2.77183715302934","0.184924238409853","3.57429878983768","2.8495686020451e-05","2.19949971827937","3.15022549472986","0","0","0","0","0","Natural.Mean High Water Or Apparent.Marsh",NA,NA,"NA","Jekyll","308.654314106338","2012-04-04 09:35:33"
"7","1","50","380.014107429053","FLAG","459892.951084568","3431714.50334594","459596.187158455","3431951.86782096","459600.091801999","3431948.74472013","459888.98025537","3431717.67938489","459600.091801999","3431948.74472013","459888.98025537","3431717.67938489","7","01/01/1867 12:00:01 AM","03/01/2006 12:00:01 AM","139.15947980835","258.769516037393","369.929354931924","141.451573893989","1","2","-375.01410742621","-5.0847524942862","7.21","5","369.929354931924","2.6583122863163","0.0630503819511106","3.39661607763698","1.28043166458736","2.11618441304962","4.67704774222434","2.83771661453612","0.967125859363673","-18.3259496753305","0.233975146170299","28.0947784378902","6.73260253527846e-05","2.23626435380039","3.43916887527184","2.77251717194219","0.974335026111699","-10.2300068572753","0.201235917571954","3.88957825558355","3.61621014063019e-05","2.25522377755411","3.28981056633026","0","0","0","0","0","Natural.Mean High Water Or Apparent.Marsh",NA,NA,"NA","Jekyll","308.654314106343","2012-04-04 09:35:33"
"8","1","50","388.603161136665","FLAG","459866.80385882","3431671.94494873","459592.302964734","3431947.01162427","459595.838250497","3431943.46905183","459863.17234418","3431675.58394839","459595.838250497","3431943.46905183","459863.17234418","3431675.58394839","7","01/01/1867 12:00:01 AM","03/01/2006 12:00:01 AM","139.15947980835","262.865632420214","378.457324267222","145.609505968828","1","2","-383.598356953366","-5.141032686144","7.21","5","378.457324267222","2.71959427261751","0.0630503819511106","3.4693023801979","1.28847950463525","2.18082287556265","4.75778188483315","2.91666165549377","0.964169003716865","-21.4953447333555","0.251451313820225","30.1932451601236","8.35922337273441e-05","2.27028547564062","3.56303783534693","2.8626898681696","0.972365340299214","-15.1557494908276","0.215824937672813","4.17156139278511","4.35360626423633e-05","2.30789420371052","3.41748553262867","0","0","0","0","0","Natural.Mean High Water Or Apparent.Marsh",NA,NA,"NA","Jekyll","315.058986155119","2012-04-04 09:35:33"
"9","1","50","400.927117169413","FLAG","459839.829699129","3431630.08564421","459569.326791847","3431926.00916547","459572.700259192","3431922.31867524","459836.309411823","3431633.93675186","459572.700259192","3431922.31867524","459836.309411823","3431633.93675186","7","01/01/1867 12:00:01 AM","03/01/2006 12:00:01 AM","139.15947980835","271.280588708145","390.709507287748","151.313243574246","1","2","-395.927117165606","-5.2176098778574","7.21","5","390.709507287748","2.8076384578746","0.0630503819511106","3.5293541614369","1.34238721563391","2.18696694580299","4.8717413770708","3.02539898737558","0.960664960698724","-23.4839091992518","0.273779845440602","32.8743638985273","0.000105688631724862","2.32162548972265","3.72917248502851","2.97715809979514","0.968547476628286","-18.4066871236048","0.239929796608866","4.63747093966335","6.02503097558883e-05","2.36039892280447","3.59391727678581","0","0","0","0","0","Natural.Mean High Water Or Apparent.Marsh",NA,NA,"NA","Jekyll","317.56964920723","2012-04-04 09:35:33"
"10","1","50","411.186404099544","FLAG","459810.649376322","3431589.51236218","459533.224595158","3431893.00824306","459536.598062503","3431889.31775283","459807.206280401","3431593.27902435","459536.598062503","3431889.31775283","459807.206280401","3431593.27902435","7","01/01/1867 12:00:01 AM","03/01/2006 12:00:01 AM","139.15947980835","279.077686744254","401.08320377938","156.426647453153","1","2","-406.186404095708","-5.1032003163275","7.21","5","401.08320377938","2.88218383923071","0.0630503819511106","3.55821744548531","1.44194213968358","2.11627530580173","5.00015958516889","3.12160274818725","0.956961160467258","-24.9414720817295","0.296057285452042","35.5493477655285","0.000132533303569474","2.36056326789643","3.88264222847806","3.07868594473534","0.964384534680259","-21.2310881340686","0.264590702658461","5.11412801505447","8.23343100166972e-05","2.39853389060325","3.75883799886743","0","0","0","0","0","Natural.Mean High Water Or Apparent.Marsh",NA,NA,"NA","Jekyll","317.569649207232","2012-04-04 09:35:33"
