Transect,Base_Off,Tran_Spac,Tran_Dist,Tran_Flag,Start_X,Start_Y,End_X,End_Y,Inner_X,Inner_Y,Outer_X,Outer_Y,Min_DateX,Min_DateY,Max_DateX,Max_DateY,Num_Dates,Min_Date,Max_Date,Elp_Years,Tran_Mean,Range_Dst,Stdev_Chg,MinDPos,MaxDPos,MinDDist,MaxDDist,MinDAcc,MaxDAcc,Net_Chng,EPR,EPR_Error,EPR_MnEra,EPR_SDEra,EPR_Er_L,EPR_Er_U,LRR,LRR_Rsqr,LRR_int,LRR_SEcoe,LRR_SEres,LRR_Pval,LRR_CI_L,LRR_CI_U,WLR,WLR_Rsqr,WLR_int,WLR_SEcoe,WLR_SEres,WLR_Pval,WLR_CI_L,WLR_CI_U,WLR,RLR,LMS,JK_avg,JK_min,JK_max,MinClass1,MaxClass1,Attr_Chng,Base_Loc,Shore_Loc,T_azimuth,Time_Stmp
1,1,100,304.899341104387,FLAG,460021.74333,3431984.76872,459781.123814448,3432172.0275167,459785.336040646,3432168.74941015,460017.228178562,3431988.28257391,459785.336040646,3432168.74941015,460017.228178562,3431988.28257391,7,1867-01-01,2006-03-01,139.254794520548,218.144217295468,293.840505396465,108.051865773071,1,7,-299.561848052792,-5.7213426563267,7.21,5,293.840505396465,2.11009255665597,0.0630072263166471,2.34447808797309,1.82830192403484,0.516176163938252,4.17278001200794,2.1790675733301,0.9786609226947,2.46106817392891,0.143898872282204,17.2906257928783,2.27591839584972e-05,1.80916374607292,2.54897140058728,2.05800300595422,0.978289761969836,18.503919843464,0.137106972403118,2.65187994644858,2.37649906610044e-05,1.70555831315568,2.41044769875277,2.05800300595422,0,0,0,0,0,NA,NA,NA,undefined,NA,307.891342467311,2010-01-26 10:16:25
2,1,100,334.724837715039,FLAG,459982.365089232,3431892.92614939,459729.969421269,3432112.78324793,459733.739618265,3432109.49910055,459978.446120892,3431896.33988868,459733.739618265,3432109.49910055,459978.446120892,3431896.33988868,7,1867-01-01,2006-03-01,139.254794520548,235.964367876613,324.527536627867,121.775915135961,1,7,-329.724836772562,-5.1973001446955,7.21,5,324.527536627867,2.33045862259328,0.0630072263166471,2.65434868560695,2.16530455799612,0.489044127610828,4.81965324360308,2.44953080153052,0.973639978656643,-5.16687743786694,0.180248468084536,21.6583268649751,3.86701729392772e-05,1.98618736357115,2.9128742394899,2.32624892271634,0.978662836241824,11.9660508594617,0.153611234596238,2.97110019596426,2.2754066245446e-05,1.93137867331359,2.7211191721191,2.32624892271634,0,0,0,0,0,NA,NA,NA,undefined,NA,311.058507155812,2010-01-26 10:16:25
3,1,100,363.689337080275,FLAG,459941.528946827,3431801.71089635,459666.907252478,3432040.14927183,459670.621607128,3432036.92430924,459937.559119422,3431805.15767138,459670.621607128,3432036.92430924,459937.559119422,3431805.15767138,7,1867-01-01,2006-03-01,139.254794520548,251.588459960687,353.51295577171,132.837704399923,1,7,-358.770311351835,-5.257355580125,7.21,5,353.51295577171,2.53860527379937,0.0630072263166471,3.14921704366129,1.62347712612138,1.52573991753991,4.77269416978267,2.67297083005789,0.97431885566369,-10.6953153352688,0.194073326251184,23.3194965837366,3.62193025869902e-05,2.17408946281508,3.17185219730071,2.57397124278245,0.981704434541252,2.54569777913165,0.157145239905462,3.0394538153748,1.54739937447515e-05,2.17001654352476,2.97792594204014,2.57397124278245,0,0,0,0,0,NA,NA,NA,undefined,NA,308.589191643701,2010-01-26 10:16:25
4,1,100,381.332802100958,FLAG,459892.952386201,3431714.34154354,459614.86231781,3431975.2641754,459618.541840359,3431971.81180217,459889.118966857,3431717.938313,459618.541840359,3431971.81180217,459889.118966857,3431717.938313,7,1867-01-01,2006-03-01,139.254794520548,259.833302972922,371.030632013191,141.616873655424,1,7,-376.287233044072,-5.2566010308804,7.21,5,371.030632013191,2.66440113096747,0.0630072263166471,3.24405381180126,1.47012815237664,1.77392565942462,4.7141819641779,2.84041131042252,0.968027853712539,-17.8068785648322,0.230854423140554,27.7390460387072,6.27816537616229e-05,2.24698112362112,3.43384149722393,2.77165921908501,0.97567168550314,-9.22207233202709,0.195730718134827,3.78576200194704,3.16205948789695e-05,2.26851739037158,3.27480104779845,2.77165921908501,0,0,0,0,0,NA,NA,NA,undefined,NA,309.299568495353,2010-01-26 10:16:25
5,1,100,401.31843291009,FLAG,459839.582869608,3431629.82185872,459556.64457429,3431914.43107437,459560.180432495,3431910.87433481,459836.001804193,3431633.42407247,459560.180432495,3431910.87433481,459836.001804193,3431633.42407247,7,1867-01-01,2006-03-01,139.254794520548,272.11633871963,391.223819767102,151.445619542232,1,7,-396.303187192857,-5.0793674257545,7.21,5,391.223819767102,2.80941005380877,0.0630072263166471,3.27303024320472,1.62848009055209,1.64455015265263,4.9015103337568,3.02617535219637,0.96079368370638,-23.0087413611549,0.2733833351859,32.8492424696578,0.000104821116173369,2.32342111660182,3.72892958779091,2.97723041975706,0.968071129568268,-17.8750430056311,0.241805173534098,4.67691963000424,6.25684315573977e-05,2.35565043290742,3.59881040660671,2.97723041975706,0,0,0,0,0,NA,NA,NA,undefined,NA,318.006309710138,2010-01-26 10:16:25
6,1,100,420.265283841559,FLAG,459779.978742879,3431549.59715255,459498.824418322,3431861.96737293,459502.222135759,3431858.19241501,459776.566564116,3431553.3881774,459502.222135759,3431858.19241501,459776.566564116,3431553.3881774,7,1867-01-01,2006-03-01,139.254794520548,285.226178502805,410.085952743494,160.516805042749,1,7,-415.186426579714,-5.1004738362196,7.21,5,410.085952743494,2.94486056408624,0.0630072263166471,3.28138639660384,1.92590780569292,1.35547859091092,5.20729420229676,3.19624972605684,0.954104153023558,-26.1733409238489,0.313505022593331,37.6701911827251,0.000155799778884424,2.39035940959767,4.00214004251601,3.159558110265,0.961854704928262,-24.0659590567537,0.28138898803777,5.44253732286374,9.7834319567751e-05,2.43622468886703,3.88289153166298,3.159558110265,0,0,0,0,0,NA,NA,NA,undefined,NA,318.932281625544,2010-01-26 10:16:25
7,1,100,443.802599642966,FLAG,459719.831994771,3431469.7850124,459440.472643669,3431814.63150057,459443.619982406,3431810.74636586,459716.553479104,3431473.8320744,459443.619982406,3431810.74636586,459716.553479104,3431473.8320744,7,1867-01-01,2006-03-01,139.254794520548,300.655138734373,433.59420361708,171.9283550382,1,7,-438.802598361524,-5.2083947444438,7.21,5,433.59420361708,3.11367522468392,0.0630072263166471,3.24886410145246,2.4080236285061,0.840840472946359,5.65688772995856,3.40959977349751,0.946383551353598,-31.0146324724969,0.362939161817064,43.6101071053067,0.000230476355782811,2.4766349566895,4.34256459030552,3.39478570899836,0.95521948996835,-33.6503995383645,0.328715583605024,6.35791345231016,0.000146445608326162,2.5497954006927,4.23977601730403,3.39478570899836,0,0,0,0,0,NA,NA,NA,undefined,NA,321.005316094129,2010-01-26 10:16:25
8,1,100,465.589472645514,FLAG,459657.333567289,3431391.77619756,459378.241855113,3431764.44411037,459381.30333731,3431760.35614885,459654.411771841,3431395.677637,459381.30333731,3431760.35614885,459654.411771841,3431395.677637,7,1867-01-01,2006-03-01,139.254794520548,312.45375598586,455.607982827506,180.084732360701,1,7,-460.482212847782,-4.8742300202757,7.21,5,455.607982827506,3.2717579627772,0.0630072263166471,3.42791806018848,2.43061005135161,0.99730800883687,5.85852811154009,3.5727301523117,0.947113513806798,-34.7151315201799,0.377560500408366,45.3669804578468,0.00022265103271768,2.60217998810819,4.5432803165152,3.59026074745046,0.954759347704987,-42.4569318694713,0.349509076284687,6.76009464913286,0.000150262283412514,2.69181906456302,4.4887024303379,3.59026074745046,0,0,0,0,0,NA,NA,NA,undefined,NA,322.783156361896,2010-01-26 10:16:25
9,1,100,484.60586383476,FLAG,459589.390979301,3431318.47784418,459318.142785479,3431720.05879568,459320.935448351,3431715.92427888,459586.523836982,3431322.72262725,459320.935448351,3431715.92427888,459586.523836982,3431322.72262725,7,1867-01-01,2006-03-01,139.254794520548,319.30163008036,474.494184396417,186.554500543279,1,7,-479.61655576007,-5.1223713636535,7.21,5,474.494184396417,3.40738131157418,0.0630072263166471,3.39530672702502,2.43530698822067,0.959999738804354,5.8306137152457,3.7113715689696,0.95238556438769,-40.5854415598017,0.371118285158621,44.5928956342905,0.000170905894330559,2.75738164626836,4.66536149167085,3.77653238172278,0.957341686530716,-53.937853039163,0.356513981389601,6.89558132095492,0.000129604982385344,2.86008401701229,4.69298074643327,3.77653238172278,0,0,0,0,0,NA,NA,NA,undefined,NA,324.218885930239,2010-01-26 10:16:25
10,1,100,508.892277779229,FLAG,459522.442142446,3431244.57734368,459268.158614654,3431685.3848276,459270.716010693,3431680.95151128,459519.855164943,3431249.06194028,459270.716010693,3431680.95151128,459519.855164943,3431249.06194028,7,1867-01-01,2006-03-01,139.254794520548,323.936709411576,498.596951171064,192.788269769506,1,7,-503.774214856731,-5.1772636856671,7.21,5,498.596951171064,3.58046523918782,0.0630072263166471,4.02736455133889,2.08193190357983,1.94543264775906,6.10929645491872,3.84373316901114,0.956534511564846,-47.8206687685776,0.366429297058934,44.0294753844087,0.000135863761498788,2.90179667394646,4.78566966407582,3.97358844358755,0.957316447855026,-68.1128260226072,0.375232458330045,7.25762821584568,0.000129797980475046,3.00902270206318,4.93815418511192,3.97358844358755,0,0,0,0,0,NA,NA,NA,undefined,NA,328.91761826591,2010-01-26 10:16:25
